date_found,company,title,location,url,source,posted_at,active,match_score
2026-08-30,Prodigy Health AI,Project Manager,"New Delhi, Delhi",https://www.adzuna.in/land/ad/5861818935,adzuna,2026-08-30,yes,
2026-08-30,"NTT America, Inc.",Risk IT Business Analyst (Counterparty Credit Risk),"Noida, Ghaziabad",https://www.adzuna.in/details/5859435613,adzuna,2026-08-28,yes,
2026-08-30,NTT,Senior Project Coordinator,"Bangalore, Karnataka",https://www.adzuna.in/details/5861235082,adzuna,2026-08-29,yes,
2026-08-30,EXL,Business Analyst,"Noida, Ghaziabad",https://www.adzuna.in/details/5861231518,adzuna,2026-08-29,yes,
2026-08-30,Cankids Kidscan,Project Manager,"Delhi, India",https://www.adzuna.in/details/5861796236,adzuna,2026-08-30,yes,
2026-08-30,Cankids Kidscan,Project Manager,"Delhi, India",https://www.adzuna.in/details/5861796220,adzuna,2026-08-30,yes,
2026-08-30,Astreya,Project Coordinator II,"Bangalore, Karnataka",https://www.adzuna.in/details/5861239858,adzuna,2026-08-29,yes,
2026-08-30,3M,Enterprise Supply Chain Project Coordinator,"Bangalore, Karnataka",https://www.adzuna.in/details/5861951155,adzuna,2026-08-30,yes,
2026-08-29,Standard Chartered Bank,Business Analyst,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5859662662,adzuna,2026-08-28,yes,
2026-08-29,Shop Pros,Junior Project Manager - Retail Fit-Outs,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5857888842,adzuna,2026-08-27,yes,
2026-08-29,Navex,Senior Implementation Specialist (Fixed - Term),"Bangalore, Karnataka",https://www.adzuna.in/details/5859755004,adzuna,2026-08-28,yes,
2026-08-29,Job Basket,Bilingual Project Manager - Japanese,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5860736950,adzuna,2026-08-29,yes,
2026-08-29,Cushman & Wakefield,Project Coordinator/Planning/Document Control (Commercial/Hospitality/Industrial/Mixed Use),"Bangalore, Karnataka",https://www.adzuna.in/details/5846910573,adzuna,2026-08-18,yes,
2026-08-29,CAP project X,Assistant Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5859991570,adzuna,2026-08-29,yes,
2026-08-29,Beyond Border Consultants,Solar Project Coordinator (Mega 80 MW),"Noida, Ghaziabad",https://www.adzuna.in/details/5860488224,adzuna,2026-08-29,yes,
2026-08-29,AppSquadz,Technical Project Manager / Delivery Manager,"Noida, Ghaziabad",https://www.adzuna.in/land/ad/5859658540,adzuna,2026-08-28,yes,
2026-08-28,VML Enterprise Solutions,Market Project Manager,"Noida, Ghaziabad",https://www.adzuna.in/details/5858361188,adzuna,2026-08-27,yes,
2026-08-28,TestHiring,Require a Business Analyst in Noida,"Noida, Ghaziabad",https://www.adzuna.in/details/5858724587,adzuna,2026-08-28,yes,
2026-08-28,Tata Realty,Vice President - Project Management RONI,"Delhi, India",https://www.adzuna.in/details/5859765198,adzuna,2026-08-28,yes,
2026-08-28,Persistent Systems,Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5859575181,adzuna,2026-08-28,yes,
2026-08-28,Persistent Systems,Senior Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5859574098,adzuna,2026-08-28,yes,
2026-08-28,Pearson,"Specialist, Project Manager","Noida, Ghaziabad",https://www.adzuna.in/details/5842763784,adzuna,2026-08-15,yes,
2026-08-28,"NTT America, Inc.",Senior Project Coordinator,"Bangalore, Karnataka",https://www.adzuna.in/details/5859435620,adzuna,2026-08-28,yes,
2026-08-28,NTT,Senior Project Coordinator,"Bangalore, Karnataka",https://www.adzuna.in/details/5858403997,adzuna,2026-08-27,yes,
2026-08-28,Moody's,Technical AI Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5858537883,adzuna,2026-08-27,yes,
2026-08-28,"MaxVal Group, Inc.",Project Manager,"Bangalore, Karnataka",https://www.adzuna.in/land/ad/5859576152,adzuna,2026-08-28,yes,
